date,open,close,high,low,volume,volume.1
2025-11-05,66.0,66.76,76.0,66.0,239000.0,239000.0
2025-11-06,60.0,57.13,63.1,57.07,176848.0,176848.0
2025-11-07,55.12,54.42,58.0,53.0,140679.0,140679.0
2025-11-10,54.06,52.12,54.76,52.02,108276.0,108276.0
2025-11-11,51.03,50.91,52.06,50.71,76450.0,76450.0
2025-11-12,50.96,52.22,54.29,49.61,112940.0,112940.0
2025-11-13,50.11,50.33,51.25,49.63,83927.0,83927.0
2025-11-14,49.6,48.3,50.17,48.29,79087.0,79087.0
2025-11-17,48.12,47.95,48.35,47.68,38881.0,38881.0
2025-11-18,48.0,46.46,48.0,46.36,48390.0,48390.0
2025-11-19,46.46,46.54,47.32,46.31,30756.0,30756.0
2025-11-20,46.39,46.88,47.55,46.39,39402.0,39402.0
2025-11-21,46.58,43.76,46.58,43.7,50209.0,50209.0
2025-11-24,43.74,43.44,44.3,42.98,27286.0,27286.0
2025-11-25,43.53,43.59,43.78,43.3,26631.0,26631.0
2025-11-26,43.59,43.97,44.51,43.42,32365.0,32365.0
2025-11-27,44.31,43.9,44.59,43.82,23517.0,23517.0
2025-11-28,43.8,43.49,43.98,43.23,21747.0,21747.0
2025-12-01,43.49,43.86,43.99,43.31,18112.0,
2025-12-02,43.8,45.2,45.77,43.48,46190.0,
2025-12-03,44.9,44.24,44.99,43.93,26906.0,
2025-12-04,44.1,43.04,44.1,43.04,21651.0,
2025-12-05,43.05,42.91,43.23,42.51,18005.0,
2025-12-08,42.99,43.18,43.39,42.82,14893.0,
2025-12-09,43.05,43.98,44.26,43.01,26125.0,
2025-12-10,44.11,43.82,44.11,43.1,19590.0,
2025-12-11,43.85,43.8,44.34,43.53,23215.0,
2025-12-12,43.5,43.09,43.63,43.05,21728.0,
2025-12-15,43.0,43.85,44.7,42.71,30197.0,
2025-12-16,43.35,42.92,43.35,42.78,19774.0,
2025-12-17,43.06,42.17,43.07,41.9,20089.0,
2025-12-18,42.15,42.0,42.35,41.93,11381.0,
2025-12-19,41.8,42.18,42.2,41.8,11537.0,
2025-12-22,42.11,42.33,42.57,42.11,10973.0,
2025-12-23,42.2,42.01,42.35,41.9,13501.0,
2025-12-24,41.91,42.09,42.15,41.85,9832.0,
2025-12-25,42.1,42.32,42.41,42.09,14418.0,
2025-12-26,42.34,42.05,42.34,41.9,17397.0,
2025-12-29,42.0,42.35,42.87,41.98,17349.0,
2025-12-30,42.2,41.9,42.27,41.85,14776.0,
2025-12-31,41.84,41.8,41.97,41.31,14999.0,
2026-01-05,41.78,42.39,42.44,41.7,20007.0,
2026-01-06,42.39,43.1,43.15,42.39,28948.0,
2026-01-07,43.0,43.7,44.48,42.86,38729.0,
2026-01-08,43.55,44.6,45.57,43.46,43182.0,
2026-01-09,45.3,49.06,49.06,45.1,100220.0,
2026-01-12,50.24,49.69,50.57,48.19,91345.0,
2026-01-13,48.88,50.29,51.44,48.21,83879.0,
2026-01-14,49.97,51.86,52.46,49.62,69661.0,
2026-01-15,51.5,53.12,53.5,50.53,61070.0,
2026-01-16,53.12,51.75,53.35,51.19,43207.0,
2026-01-19,51.16,52.03,52.35,50.0,41688.0,
2026-01-20,51.77,50.6,52.09,50.0,27860.0,
2026-01-21,50.2,50.49,50.85,49.8,17738.0,
2026-01-22,50.93,49.41,50.93,49.06,27827.0,
2026-01-23,49.6,49.89,49.98,49.0,21253.0,
2026-01-26,49.88,49.48,50.5,49.08,20122.0,
2026-01-27,49.44,49.7,51.12,48.83,22745.0,
2026-01-28,49.73,48.35,49.87,48.3,20911.0,
2026-01-29,48.3,47.12,49.18,47.11,16430.0,
2026-01-30,46.7,47.09,47.62,46.31,13335.0,
2026-02-02,47.26,46.27,48.04,46.19,13813.0,
2026-02-03,46.8,48.83,49.0,46.66,20870.0,
2026-02-04,48.96,53.71,53.71,48.83,43005.0,
2026-02-05,56.49,59.08,59.08,54.56,80461.0,
2026-02-06,58.8,59.3,60.99,57.91,91344.0,
2026-02-09,59.01,58.63,60.05,57.2,50167.0,
2026-02-10,58.75,56.75,58.85,53.6,57218.0,
2026-02-11,56.78,55.19,59.11,55.0,34273.0,
2026-02-12,55.0,53.52,55.44,53.35,36650.0,
2026-02-13,54.58,54.75,56.13,53.24,30950.0,
2026-02-24,55.38,55.83,57.09,54.38,29896.0,
2026-02-25,55.8,53.85,55.84,53.38,32148.0,
2026-02-26,53.98,55.49,55.9,53.8,27610.0,
2026-02-27,54.85,55.4,55.74,54.5,20095.0,
2026-03-02,56.6,56.25,57.67,55.67,37088.0,
2026-03-03,56.46,52.43,56.6,52.4,28766.0,
2026-03-04,52.45,54.55,56.98,52.45,32502.0,
2026-03-05,54.84,55.35,56.8,53.3,39256.0,
2026-03-06,53.98,55.2,55.65,53.39,26261.0,
2026-03-09,57.53,55.29,57.57,54.19,38765.0,
2026-03-10,54.01,54.66,55.29,53.21,33884.0,
